AA,4,12,9,0,0,16,64,1,5581115
AB,0,0,0,0,0,0,0,0,5588411
766,0,0,0,0,0,1,,,5595623
C0,0,0,0,0,1,2,0,0,5602920
A7,0,0,0,0,0,0,0,0,5610202
AA,4,12,9,0,0,16,64,1,5617500
AB,0,0,0,0,0,0,0,0,5624783
387,0,1,56,253,127,87,235,39,5632012
766,0,0,0,0,0,1,,,5655420
C0,0,0,0,0,1,2,0,0,5662080
A7,0,0,0,0,0,0,0,0,5669175
AA,4,12,9,0,0,16,64,1,5676413
AB,0,0,0,0,0,0,0,0,5683697
766,0,0,0,0,0,1,,,5690806
C0,0,0,0,0,1,2,0,0,5697898
A7,0,0,0,0,0,0,0,0,5705074
AA,4,12,9,0,0,16,64,1,5712231
AB,0,0,0,0,0,0,0,0,5719406
380,27,0,0,0,170,110,70,157,5726562
766,0,0,0,0,0,1,,,5733884
C0,0,0,0,0,1,2,0,0,5741100
387,255,254,56,253,127,87,235,39,5748332
A7,1,0,0,0,254,255,0,0,5755618
AA,4,12,9,0,0,16,64,1,5762920
AB,0,0,0,0,0,0,0,0,5770139
766,0,0,0,0,0,1,,,5777186
766,0,0,0,0,0,1,,,5788492
C0,0,0,0,0,1,2,0,0,5795149
A7,0,0,0,0,0,0,0,0,5815448
AA,4,12,9,0,0,16,64,1,5822660
387,255,254,56,253,127,87,235,39,5829795
50,0,0,,,,,,,5850322
766,0,0,0,0,0,1,,,5857380
A7,0,0,0,0,0,0,0,0,5864458
AA,4,12,9,0,0,16,64,1,5871591
AB,0,0,0,0,0,0,0,0,5878871
C0,0,0,0,0,1,2,0,0,5886067
A7,1,0,0,0,0,0,0,0,5893217
AA,4,12,9,0,0,16,64,1,5900223
AB,0,0,0,0,0,0,0,0,5907311
766,0,0,0,0,0,1,,,5914441
C0,0,0,0,0,1,2,0,0,5921521
387,0,0,56,253,127,87,235,39,5928713
400,31,31,30,33,0,2,0,2,5940094
A7,1,0,0,0,0,0,0,0,6008347
AA,4,12,9,0,0,16,64,1,6030531
AB,0,0,0,0,0,0,0,0,6037683
766,0,0,0,0,0,1,,,6044754
C0,0,0,0,0,1,2,0,0,6051841
A7,0,0,0,0,0,0,0,0,6059037
AA,4,12,9,0,0,16,64,1,6066251
AB,0,0,0,0,0,0,0,0,6073478
766,0,0,0,0,0,1,,,6080631
C0,0,0,0,0,1,2,0,0,6087702
A7,0,0,0,0,0,0,1,0,6094982
AA,4,12,9,0,0,16,64,1,6102052
AB,0,0,0,0,0,0,0,0,6109143
387,255,254,56,253,127,87,235,39,6116216
766,0,0,0,0,0,1,,,6123435
C0,0,0,0,0,1,2,0,0,6130567
A7,0,0,0,0,0,0,0,0,6142163
AA,4,12,9,0,0,16,64,1,6148811
AB,0,0,0,0,0,0,0,0,6155887
766,0,0,0,0,0,1,,,6163040
380,27,0,0,0,170,111,70,157,6170113
C0,0,0,0,0,1,2,0,0,6177356
A7,0,0,0,0,0,0,0,0,6184433
AA,4,12,9,0,0,16,64,1,6191528
AB,0,0,0,0,0,0,0,0,6198773
387,0,0,56,253,127,87,235,39,6205992
766,0,0,0,0,0,1,,,6213131
C0,0,0,0,0,1,2,0,0,6220217
A7,0,0,0,0,0,0,0,0,6227420
AA,4,12,9,0,0,16,64,1,6234574
AB,0,0,0,0,0,0,0,0,6241585
766,0,0,0,0,0,1,,,6248803
A0,64,1,67,1,66,1,144,1,6255935
A2,152,0,152,0,113,1,0,0,6274702
766,0,0,0,0,0,1,,,6399703
387,0,0,56,253,127,87,235,39,6418507
C0,0,0,0,0,1,2,0,0,6425497
400,31,31,30,33,0,2,0,2,6432563
A7,1,0,0,0,254,255,1,0,6505951
AA,4,12,9,0,0,16,64,1,6513272
766,0,0,0,0,0,1,,,6520514
A7,0,0,0,0,0,0,0,0,6527581
AA,4,12,9,0,0,16,64,1,6534693
AB,0,0,0,0,0,0,0,0,6541887
C0,0,0,0,0,1,2,0,0,6549128
A7,0,0,0,0,0,0,0,0,6556219
AA,4,12,9,0,0,16,64,1,6563397
AB,0,0,0,0,0,0,0,0,6570463
766,0,0,0,0,0,1,,,6577510
C0,0,0,0,0,1,2,0,0,6584639
387,255,254,56,253,127,87,235,39,6591815
A7,0,0,0,0,0,0,0,0,6603134
AA,4,12,9,0,0,16,64,1,6609703
AB,0,0,0,0,0,0,0,0,6616694
766,0,0,0,0,0,1,,,6623956
C0,0,0,0,0,1,2,0,0,6631070
A7,0,0,0,0,0,0,0,0,6638264
AA,4,12,9,0,0,16,64,1,6645443
AB,0,0,0,0,0,0,0,0,6652509
766,0,0,0,0,0,1,,,6659625
C0,0,0,0,0,1,2,0,0,6666691
387,255,254,56,253,127,87,235,39,6673868
A7,1,0,0,0,0,0,0,0,6681126
AA,4,12,9,0,0,16,64,1,6701415
AB,0,0,0,0,0,0,0,0,6708545
766,0,0,0,0,0,1,,,6715655
766,0,0,0,0,0,1,,,6736042
A7,1,0,0,0,0,0,0,0,6743152
AA,4,12,9,0,0,16,64,1,6754423
766,0,0,0,0,135,1,,,6761115
C0,0,0,0,0,1,2,0,0,6768131
A7,0,0,0,0,254,255,0,0,6775202
AA,4,12,9,0,0,16,64,1,6782259
AB,0,0,0,0,0,0,0,0,6789394
387,255,254,48,253,127,87,235,39,6796510
766,0,0,0,0,135,1,,,6803647
C0,0,0,0,0,1,2,0,0,6810824
A7,0,0,0,0,0,0,0,0,6817894
AA,4,12,9,0,0,16,64,1,6825076
AB,0,0,0,0,0,0,0,0,6832211
766,0,0,0,0,135,1,,,6839270
A7,0,0,0,0,0,0,0,0,6846469
